shot_number,year,spatial_block_id,spatial_fold,missing_reason
138560600300418251,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418261,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418264,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418322,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418326,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418363,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418392,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418408,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418492,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418500,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560600300418512,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
138560600300418549,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
138560600300418563,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
138560800300417975,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560800300418033,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560800300418059,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560800300418161,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138560800300418226,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
138560800300418247,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
138561100300418691,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418716,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418722,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418746,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418772,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418774,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418790,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418796,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418799,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418810,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418813,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418821,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
138561100300418900,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
138561100300418974,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170000300227167,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170000300227282,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170000300227401,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170200300227852,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170200300227859,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170300300222392,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170300300222679,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222249,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170500300222256,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170500300222264,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170500300222372,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170500300222433,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222446,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222513,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222520,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222560,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222565,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222647,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222666,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222669,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222673,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222676,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222682,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222714,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170500300222726,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170600300614562,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170600300614588,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170600300614608,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170600300614635,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170600300614649,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170600300614827,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170600300614884,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170600300615008,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170600300615014,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170600300615047,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300226801,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139170800300227035,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300227082,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300227094,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300227108,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300227194,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300227216,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139170800300227243,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300221749,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221758,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221779,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221783,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221806,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221849,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221851,2021,EPSG5070_50KM_31_27,4,DEM_MASKED
139171100300221913,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300221955,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222014,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222030,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222079,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222081,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222093,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222200,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222203,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139171100300222206,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780100300419027,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780300300418934,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780300300419034,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780500300419565,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780800300417977,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780800300418015,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780800300418040,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780800300418089,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780800300418090,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139780800300418098,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418554,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418606,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418630,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418675,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418676,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418691,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
139781100300418764,2021,EPSG5070_50KM_31_26,0,DEM_MASKED
141460000300427578,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460100300427524,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460300300427580,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427423,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427434,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427530,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427558,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427602,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427643,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427655,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427692,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427710,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427860,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460500300427878,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300426815,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300426834,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
141460600300426987,2021,EPSG5070_50KM_27_19,1,DEM_MASKED
