scope,domain,year,image_count,frozen_sample_n,sampled_n,valid_hh_n,valid_hv_n,qa_land_n,valid_palsar_n,missing_fraction,block_id_hash,qa_class,qa_count
block,source,2020,,200.0,,,,,200.0,0.0,391ad2076ffc410c60265e47b50cebcbc92ff81c20a87d91f471ce6e7e80401c,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,37368385abf1ea597e50ac93cb4d043e75cfca8ce8856fb2294470a13d263ce7,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,70b11646f80e1d52fa6b04ed4f5e6f64484fd1d9d574ccd6f031fdcde050abbd,,
block,source,2020,,200.0,,,,,138.0,0.31000000000000005,c8335c17b49145bc065a0eb495fd3f001d81e8fa03f8d90642bcf6184b2689c4,,
block,source,2020,,200.0,,,,,191.0,0.04500000000000004,83b1e6c3986f8020650b26320f0f270429862d3cbec2505a49ef515f64a21c64,,
block,source,2020,,200.0,,,,,200.0,0.0,80ede8118165a0a4ed1554c0166af861299281de7e4696ab147ac975b8a3756b,,
block,source,2020,,200.0,,,,,200.0,0.0,5dd2f68e7c2951caaf398f2a11951735ab4ddb44205cd461614de292f63c3ced,,
block,source,2020,,200.0,,,,,200.0,0.0,56c280629a6008f49623318a459575847f062775d0e79e4733cb959feafb4168,,
block,source,2020,,200.0,,,,,200.0,0.0,6dd742a543c8c54e7fc6a0a5978308985a81ae3a99eaec48f222543063b1afc6,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,ef8c0dbcd3ef2b1e8add6a7d3e851800fa2ba9e242b339880c83fda82a9fb909,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,6f1e55b46fca7b9d1e1068fc672a2151ee6a90c68e9141257c87c0fc0ec36e9b,,
block,source,2020,,200.0,,,,,200.0,0.0,704a164d43bcf63de7ef91cfa2eb7e26b9c68cb56427971009860638bc98e971,,
block,source,2020,,200.0,,,,,194.0,0.030000000000000027,75b828e95c3fa653022d0881f23fecaeff799b438cb3e644658927ca194534a3,,
block,source,2020,,200.0,,,,,189.0,0.05500000000000005,61700cb3872830cdf68cdd6bb1f5e1dccb19f2275203d59c9991b9b3fa24bbab,,
block,source,2020,,200.0,,,,,200.0,0.0,e1c1a046f1698912dd5ed6de0fb86f550c1005d7edebf47e9e5e3470404a0647,,
block,source,2020,,200.0,,,,,200.0,0.0,7559c022454ec52f72a79e239fee4771bf3006714ea0739a6fcc41fe1b6be776,,
block,source,2020,,200.0,,,,,200.0,0.0,ad70c2978b8d5dd86ffd5edd67a0d546a1ef61431d8ea29d9fd372509636718e,,
block,source,2020,,200.0,,,,,200.0,0.0,1e18e22bba290685ad630653042a7a2306a353c460aeb7d4954565ddeccbd017,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,954422debf3e7363b3f429ff875c3ecfad1edbcd125e8b63e104cdbee69a925c,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,eb5ec205e9fff7e87e3f105a8afc7f359968f0a16612c3978b18500d00e9fca1,,
block,source,2020,,200.0,,,,,198.0,0.010000000000000009,c9e9717f42e9003ddba4aa04f537d63b6a17989f8e62489466b147d3bd978a12,,
block,source,2020,,200.0,,,,,198.0,0.010000000000000009,245b1c921005c5eae76ba9ca107227b83821ac60f9d32079e716f21d3cb0ac37,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,b4176e68e6c1e4d177c8772c48efc80cadbb1f4a4207920cdcfa3cd7a06ff7c6,,
block,source,2020,,200.0,,,,,199.0,0.0050000000000000044,cb13c6f33a80fe9c126497e97970a16a90a96ebf3cec0a6abaa6b20826c42862,,
block,source,2020,,200.0,,,,,193.0,0.03500000000000003,66a69421d8daa47a5331adf253741c6bae90b1319fa5a7bdd3bd0a058aceb30f,,
block,source,2020,,200.0,,,,,200.0,0.0,cf1c09d8436e2f42149f5262054522fb0f44292b3444805cb45508c69fb5e1cf,,
