representation,method,budget,runs,N_train,N_test_mean,R2_mean,R2_sd,R2_median,RMSE_mean,RMSE_sd,RMSE_median,MAE_mean,MAE_sd,MAE_median,Bias_mean,Bias_sd,Bias_median
conventional,bias_only,50,15,50.0,26039.0,-0.45120386278390323,0.056381872556849774,-0.47151810682173667,105.70253081954789,3.137485026998471,104.05094462253321,75.17235791532134,1.4561195606918138,75.26598886897735,2.203088263049464,15.529105357382447,2.805663980466995
conventional,bias_only,100,15,100.0,26039.0,-0.4358179505426909,0.05857615805128384,-0.4346579088298932,105.12976368715223,2.85464175106737,103.86353536059657,74.51782270814208,1.115513843826192,74.3063672135575,1.3883443951388974,10.640019672967346,-0.3317018770013076
conventional,bias_only,250,15,250.0,26039.0,-0.4269249494725084,0.05119636090391536,-0.424215331764221,104.81732044733818,3.018898175899342,103.67625398713578,74.15425007856425,0.8531294709589436,73.66261823350767,-0.9147333232484212,6.7127822292590755,-0.18572834229989169
conventional,bias_only,500,15,500.0,26039.0,-0.4263140479052149,0.05390118372257617,-0.4228310482510913,104.78817767662362,2.892453282091326,103.7097980487823,74.11611218168024,0.7760590191954683,73.62259818472893,-1.105992934330736,6.111881089579528,-2.2882928143750334
conventional,bias_only,1000,15,1000.0,26039.0,-0.4254714230743105,0.055168902815005826,-0.4217495141227272,104.75386442745483,2.8256280283280923,103.66167231793374,74.09127146206289,0.7581769158093186,73.60093060331725,-0.6963354917084569,5.482737385490853,-2.3551280575862648
conventional,bias_only,2500,15,2500.0,26039.0,-0.4239951915539581,0.054787615341359765,-0.42174135456754747,104.69971228904735,2.8126653170842766,103.7107542237366,74.05429735898774,0.7116670159690829,73.62308460024741,-0.49563962815563856,4.253364083470767,-0.6817390313986145
conventional,local_xgboost,25,15,25.0,26039.0,-0.16993930052362127,0.10937597083747964,-0.11867375235668076,94.8908824405713,5.970863722153908,93.842017570804,66.75182709118364,5.078721133112937,66.15816176718972,-2.738928862109072,13.312987336013155,-2.250895453173474
conventional,local_xgboost,50,15,50.0,26039.0,-0.14280752884942105,0.08541742463638921,-0.09428228069178424,93.8274847223873,5.5338504441961085,94.75428736621798,65.3853414296947,4.18293904899408,63.86668981855161,1.192805173501561,9.888897667680483,2.366269268655213
conventional,local_xgboost,100,15,100.0,26039.0,-0.10769291064187822,0.08058079539896765,-0.08051717767351918,92.35893193374007,5.027457203259183,91.7668819342845,63.98113487587849,3.8257078130312636,62.38660851519689,2.178080799719888,8.34365033719398,0.5400161164449421
conventional,local_xgboost,250,15,250.0,26039.0,-0.03686404681914819,0.03269410980552391,-0.035016556120776476,89.40737338426861,4.079448488851442,88.01273154985113,61.03474964654177,2.088774465792311,60.4035972528609,-0.2772306743134833,5.781654757707198,0.3454408918986524
conventional,local_xgboost,500,15,500.0,26039.0,0.007274560539287308,0.02585633895893824,0.017032347227846856,87.48724920962391,3.9289673692866955,86.17742677304315,59.1531410849887,1.7279668879190893,58.50134456915755,-0.369388160952047,3.1201954220043175,0.7569608498135844
conventional,local_xgboost,1000,15,1000.0,26039.0,0.03940136578628593,0.016731102189077942,0.0426117302741823,86.07867848923335,4.142218756902101,84.99445857823058,57.905052346820746,1.5083460993881006,57.84014374247888,0.1776993962969635,3.1539460160151305,-0.3963444238985483
conventional,local_xgboost,2500,15,2500.0,26039.0,0.05936801843071731,0.010539398327480467,0.06175238982278597,85.18546913078961,4.1607489777843165,84.16684961366843,57.013943565100384,1.595623455828787,56.714690820120566,0.20771582815779485,2.4642260868286896,-0.6492594868638198
