representation,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
palsar_sentinel2,2500,0,43,2500,21343,0.035516913753627755,85.56521801999446,57.44514572723389,3.3614654255522294
sentinel1_palsar_sentinel2,2500,0,43,2500,21343,0.03568570589463249,85.55773039864341,57.36909861928831,3.51650858229028
alphaearth,2500,0,43,2500,21343,0.11242656641266813,82.08278827676413,53.581006693331645,2.8690253397564343
dem,2500,0,44,2500,21343,-0.004607264517154652,87.32691345660567,59.51138896447661,3.551549547730464
sentinel1_c,2500,0,44,2500,21343,0.022444683262355714,86.1431253528774,58.16400338739994,3.1596244228782813
palsar_l,2500,0,44,2500,21343,0.01516897788151339,86.46310219674046,58.75632998538452,3.90259049998963
sentinel1_c_palsar_l,2500,0,44,2500,21343,0.03523997674928214,85.57750152954245,57.729517109185046,3.979254784836632
sentinel1_sentinel2,2500,0,44,2500,21343,0.04625067387499793,85.08775699264307,56.41859459351614,3.098948268791311
palsar_sentinel2,2500,0,44,2500,21343,0.043191637543244066,85.22410212940564,56.61942619359422,3.1232316814678662
sentinel1_palsar_sentinel2,2500,0,44,2500,21343,0.047901579052109344,85.01408320056768,56.367042999996805,3.2928824018731255
alphaearth,2500,0,44,2500,21343,0.13613134890601664,80.97926122297004,52.31187855861897,1.7415809590662603
dem,25,1,42,25,20374,-0.04315399981595158,96.72861465585783,64.84552400660782,-4.5659249614187045
sentinel1_c,25,1,42,25,20374,-0.07697032141349136,98.2839543988188,66.27061104541754,-2.8921224566213013
palsar_l,25,1,42,25,20374,-0.10034478754380394,99.34480217503832,67.84734358031182,1.2414903408957276
sentinel1_c_palsar_l,25,1,42,25,20374,-0.05407899448539877,97.23381672700336,65.32931710614812,-4.04932756467896
sentinel1_sentinel2,25,1,42,25,20374,-0.09150849210333223,98.94510495585095,68.15267760404686,0.9766251073947345
palsar_sentinel2,25,1,42,25,20374,-0.10581167745804287,99.59128590825,68.0422225295638,-0.9228163018590541
sentinel1_palsar_sentinel2,25,1,42,25,20374,-0.10772780271878646,99.67753331723999,67.69478333509025,-6.186414890575703
alphaearth,25,1,42,25,20374,-0.03433627109968773,96.31892597211574,64.47781240440779,-3.447030019046934
dem,25,1,43,25,20374,-0.03251635573983047,96.23415205846815,62.67283661205492,-13.262583242951143
sentinel1_c,25,1,43,25,20374,-0.04186873817645198,96.66900701624101,63.452707265688275,-12.002778833260862
palsar_l,25,1,43,25,20374,-0.06810400193577593,97.87854959777776,64.44390181017172,-10.971353021289573
sentinel1_c_palsar_l,25,1,43,25,20374,-0.04592474744155184,96.85699112183477,63.299116242588994,-12.265532178251949
sentinel1_sentinel2,25,1,43,25,20374,-0.05411166584535243,97.23532360477385,64.95098225647718,-8.13336468244652
palsar_sentinel2,25,1,43,25,20374,-0.04539207569558612,96.83232416886936,63.761881426493865,-11.184512635995608
sentinel1_palsar_sentinel2,25,1,43,25,20374,-0.03649260082171768,96.41927400847034,63.278942251693444,-11.681496405945003
alphaearth,25,1,43,25,20374,-0.02433626841341141,95.85218758829711,62.399736699441355,-10.749175807974435
dem,25,1,44,25,20374,-0.44633076266314053,113.89759813503237,87.65714444147024,44.019866114795086
sentinel1_c,25,1,44,25,20374,-0.2485738169554037,105.82489975190556,78.04305088707592,32.78884276652912
palsar_l,25,1,44,25,20374,-0.3180917905198568,108.73104990942818,78.7237544287794,25.520018237410227
sentinel1_c_palsar_l,25,1,44,25,20374,-0.2927284146019542,107.67983997677868,79.03356966715347,32.66788407392547
sentinel1_sentinel2,25,1,44,25,20374,-0.9331309812805795,131.677446051808,99.14319471936662,39.87109433149192
palsar_sentinel2,25,1,44,25,20374,-0.9136452600675322,131.01211901627607,98.47850641416048,42.158361919909524
sentinel1_palsar_sentinel2,25,1,44,25,20374,-0.8935732049347427,130.32322056678734,97.92711072944957,41.76498323067823
