representation,budget,fold,seed,bias_correction,affine_intercept,affine_slope
alphaearth,25,4,43,-60.07642326858887,-4.919742862470358,0.7002594717006513
conventional,25,4,43,-92.98452474858888,61.68163314464645,0.28699926255759006
alphaearth,25,4,44,-36.23913596408448,99.65156669721584,0.2064881401941763
conventional,25,4,44,-71.12124800408446,120.82859272224464,0.06881208157709688
alphaearth,50,4,42,-67.14090394287965,21.47278547261368,0.5236129449164774
conventional,50,4,42,-87.16146870287963,37.14812917290683,0.3966506086767718
alphaearth,50,4,43,-66.75920014161866,19.469830207318804,0.5201472657003572
conventional,50,4,43,-96.55859406161863,66.21114465948514,0.2230499813424068
alphaearth,50,4,44,-48.42739153045289,69.17759643817597,0.3222587730674112
conventional,50,4,44,-78.02691099045288,92.59849976902387,0.1599956340167325
alphaearth,100,4,42,-56.59590709557311,46.50577257730775,0.4153969676158268
conventional,100,4,42,-73.49688383557313,76.73035272556974,0.2226791395895111
alphaearth,100,4,43,-52.162799958962395,75.95739423962831,0.2699158715504691
conventional,100,4,43,-82.21485127896241,70.732534813294,0.25587149553743704
alphaearth,100,4,44,-50.80652029597533,73.63166002568957,0.28393587110512825
conventional,100,4,44,-71.96578846897535,71.03063101123283,0.2664594914704049
alphaearth,250,4,42,-55.69026654097876,43.90967441881001,0.43439493299849974
conventional,250,4,42,-74.84532045697875,78.03582259193082,0.21699619440607099
alphaearth,250,4,43,-53.26546437664453,47.40911617404324,0.4251588631544268
conventional,250,4,43,-77.39140842864454,63.58604314338607,0.29249695460728975
alphaearth,250,4,44,-52.77381195924145,65.55023862377837,0.3158393712095071
conventional,250,4,44,-75.18174165244146,75.03159685072364,0.23107775312826623
alphaearth,500,4,42,-60.917641891997064,42.14769711363146,0.4240144534021033
conventional,500,4,42,-79.72121908399707,65.7453968029305,0.26435764683751234
alphaearth,500,4,43,-52.27975931351659,59.3080568740166,0.37047680968453506
conventional,500,4,43,-77.2843061245166,67.91533284066259,0.2821217987428682
alphaearth,500,4,44,-51.023794214822026,62.12298351872002,0.345994382068244
conventional,500,4,44,-72.14458464142201,77.66050545858944,0.22831243826504954
alphaearth,1000,4,42,-56.408025128028264,46.192364379494286,0.42087233204671876
conventional,1000,4,42,-75.30265927902825,69.61681820089287,0.26083483242662653
alphaearth,1000,4,43,-54.876170966227846,58.37771625779282,0.36190905312453037
conventional,1000,4,43,-77.35114136772783,72.34544829383347,0.25138080008755226
alphaearth,1000,4,44,-54.52331698427252,55.30154136272192,0.37409035492814074
conventional,1000,4,44,-72.95840785357251,72.60081872613543,0.24930577021334477
alphaearth,2500,4,42,-55.9924807975597,47.14389176722625,0.41827446005015484
conventional,2500,4,42,-74.6300876063717,71.0074278457095,0.2566915871355425
alphaearth,2500,4,43,-55.36839505638018,54.987036086657774,0.3789084969191262
conventional,2500,4,43,-75.67775234154018,74.97770799451317,0.23907227315226198
alphaearth,2500,4,44,-53.85589229425591,57.0009837888338,0.3764997193709541
