representation,outer_fold,inner_fold,model,config,R2,RMSE,MAE,Bias,N
sentinel1_sentinel2,1,3,random_forest,rf_half,0.40806169417044624,83.11785614062973,55.321072455001115,-1.34243448437471,15446
sentinel1_sentinel2,1,3,xgboost,xgb_depth6,0.40975741741317473,82.99871706392855,54.889001651052766,-2.0810175161189286,15446
sentinel1_sentinel2,1,3,xgboost,xgb_depth8,0.40273006724979754,83.49134100043315,55.511393099609386,-1.6629206122790625,15446
sentinel1_sentinel2,1,4,random_forest,rf_sqrt,0.4292322731139814,79.89721701981811,55.67491695610863,0.597074948867037,14627
sentinel1_sentinel2,1,4,random_forest,rf_half,0.4321996096140637,79.68925951000335,55.36642035194099,1.0880363033835467,14627
sentinel1_sentinel2,1,4,xgboost,xgb_depth6,0.437139980813536,79.34181818302137,54.75568825173029,0.4677437603034572,14627
sentinel1_sentinel2,1,4,xgboost,xgb_depth8,0.4328001612844108,79.64710545383221,55.02672292435691,0.4879466171915246,14627
sentinel1_sentinel2,2,0,random_forest,rf_sqrt,0.4482636879919676,80.82602759269176,56.131522419278745,0.7333491066859177,14688
sentinel1_sentinel2,2,0,random_forest,rf_half,0.45152853208543364,80.58653282893951,55.917463593142166,0.9729681812232533,14688
sentinel1_sentinel2,2,0,xgboost,xgb_depth6,0.4509283589239904,80.63061228700536,55.42401873344317,-0.4440458103945721,14688
sentinel1_sentinel2,2,0,xgboost,xgb_depth8,0.4447865796297049,81.0803152404459,56.04806702581798,0.07165891009903294,14688
sentinel1_sentinel2,2,1,random_forest,rf_sqrt,0.405864059371035,85.73497397701165,56.44224589477524,2.856392894655153,15046
sentinel1_sentinel2,2,1,random_forest,rf_half,0.4077951085207332,85.59553350552801,56.30995397727692,3.9825360054486287,15046
sentinel1_sentinel2,2,1,xgboost,xgb_depth6,0.40250085840536487,85.97728977062741,56.40760248294355,2.832421400556849,15046
sentinel1_sentinel2,2,1,xgboost,xgb_depth8,0.3977251072604172,86.32020986102425,56.550291463141875,2.294176617753202,15046
sentinel1_sentinel2,2,3,random_forest,rf_sqrt,0.3959487513799266,84.84060229035906,55.892397649371865,-0.8903738897574741,15548
sentinel1_sentinel2,2,3,random_forest,rf_half,0.39921757727693363,84.61073324437929,55.65052350958497,-0.6557363046337656,15548
sentinel1_sentinel2,2,3,xgboost,xgb_depth6,0.39808556878974033,84.6904085055108,55.585561079088514,-0.04514577408723764,15548
sentinel1_sentinel2,2,3,xgboost,xgb_depth8,0.3952943360847595,84.88654703305691,55.757929798330366,-0.21048137301584197,15548
sentinel1_sentinel2,2,4,random_forest,rf_sqrt,0.43860099689157905,78.87265317697549,55.568386902313364,-0.7955224357687368,14718
