representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
alphaearth,local_xgboost,50,1,42,50,26059,-0.2888339715628345,108.34684840842118,75.38495385816621,9.553954924111263
conventional,bias_only,50,1,42,50,26059,-0.3432410848134775,110.6100984977352,76.49909603158616,11.506114992919937
conventional,affine,50,1,42,50,26059,-0.014505621065891372,96.12691937507758,65.64723378304961,9.915089973557782
conventional,local_xgboost,50,1,42,50,26059,-0.16183113212613076,102.8701327863136,69.01335976758187,-0.48211279648441707
alphaearth,bias_only,50,1,43,50,26059,-0.20358628393049782,104.70234548042936,68.18330830060157,-25.17360414370323
alphaearth,affine,50,1,43,50,26059,0.006971728795675647,95.10396029819496,59.71182821677124,-16.96632909093437
alphaearth,local_xgboost,50,1,43,50,26059,0.005279374477347387,95.18496558622188,58.826881233983634,-20.70893019660439
conventional,bias_only,50,1,43,50,26059,-0.3801969202098019,112.12135113494244,76.50721209328812,-21.65627329151245
conventional,affine,50,1,43,50,26059,-0.02947331782603002,96.83343614805656,61.31364348727275,-16.258318769934398
conventional,local_xgboost,50,1,43,50,26059,-0.09308750589001757,99.78040464109297,63.72014646470202,-19.652970420573652
alphaearth,bias_only,50,1,44,50,26059,-0.13517982264546569,101.68341589081028,66.78097536905553,-3.2628612756563378
alphaearth,affine,50,1,44,50,26059,0.023426129435809906,94.31273639258599,60.67813338923362,-3.9404823081756364
alphaearth,local_xgboost,50,1,44,50,26059,-0.04401738238948849,97.5150528391212,64.95141859622552,0.32456129972869774
conventional,bias_only,50,1,44,50,26059,-0.3652493666960621,111.51256038055129,77.77265137314588,18.244120016534456
conventional,affine,50,1,44,50,26059,0.038128704133213676,93.60009252023225,61.50189786599426,-0.3727072807574767
conventional,local_xgboost,50,1,44,50,26059,-0.16456310084609127,102.9910079120707,70.47935507023976,2.366269268655213
alphaearth,bias_only,100,1,42,100,26059,-0.13401166468878478,101.63108371270164,67.03965510943968,0.0798316908078801
alphaearth,affine,100,1,42,100,26059,0.0416175336061988,93.4301885970079,60.90229661257482,0.3920832655594955
alphaearth,local_xgboost,100,1,42,100,26059,-0.12696045390561195,101.31462327842375,67.48216660883918,-2.0752661491548716
conventional,bias_only,100,1,42,100,26059,-0.32871793728645526,110.01051419561492,75.30182990967167,-0.3317018770013076
conventional,affine,100,1,42,100,26059,0.03408271244580141,93.79674449916196,61.86104539074824,0.4377232771023204
conventional,local_xgboost,100,1,42,100,26059,-0.10341702661087626,100.25075135883476,66.44381010114057,-3.8562958882139386
alphaearth,bias_only,100,1,43,100,26059,-0.14393029785395628,102.07457421962803,66.61887253173109,-9.505151161293556
alphaearth,affine,100,1,43,100,26059,0.039691409867535166,93.52402784325525,60.2651245225765,-3.878794328789868
alphaearth,local_xgboost,100,1,43,100,26059,0.054105059609299566,92.81950475316877,58.40180024495007,-9.200558001894759
conventional,bias_only,100,1,43,100,26059,-0.3579740473801176,111.21504213218441,75.78862471689582,-16.32735094910278
conventional,affine,100,1,43,100,26059,0.02012527668452324,94.47199205504018,60.8619849701435,-6.834610662099418
conventional,local_xgboost,100,1,43,100,26059,-0.019430217583552123,96.359945785523,62.38660851519689,-9.08123172546435
alphaearth,bias_only,100,1,44,100,26059,-0.13470088033238636,101.66196306575483,66.82920606837503,-2.5067769872066488
alphaearth,affine,100,1,44,100,26059,0.040054691863413705,93.50633623366629,60.50886281456415,-2.1092651694672053
alphaearth,local_xgboost,100,1,44,100,26059,0.03728217489031571,93.64127151684932,60.460670927165474,-3.2891312090499336
conventional,bias_only,100,1,44,100,26059,-0.3291678187013414,110.02913646894967,75.23403681431017,-2.051259285015848
conventional,affine,100,1,44,100,26059,0.03816375252323878,93.59838721805333,61.23860656564235,-1.8895134002963814
conventional,local_xgboost,100,1,44,100,26059,-0.12057278264367755,101.02708694381668,68.62448003421262,4.163828003771081
alphaearth,bias_only,250,1,42,250,26059,-0.1366793670227049,101.75055436066867,67.63769957777255,4.929960363337552
alphaearth,affine,250,1,42,250,26059,0.036165636816096525,93.69555728208641,62.266402258453006,6.852045886965816
alphaearth,local_xgboost,250,1,42,250,26059,-0.01913530487313042,96.34600671061068,64.13765341287937,4.925960529375223
conventional,bias_only,250,1,42,250,26059,-0.33067283943046544,110.0914120067466,75.60648948179066,4.232704831528352
conventional,affine,250,1,42,250,26059,0.034909755776621254,93.75658030223086,62.91504311326543,7.083106891793142
conventional,local_xgboost,250,1,42,250,26059,-0.046092729323309545,97.61192722801889,65.86840618837746,3.4936926824132426
alphaearth,bias_only,250,1,43,250,26059,-0.16335961273033606,102.93777743732728,66.9504279565956,-16.349777375163654
alphaearth,affine,250,1,43,250,26059,0.026706113811898358,94.15422074198071,59.680401200315224,-11.47103434751706
alphaearth,local_xgboost,250,1,43,250,26059,0.08457304009681621,91.31237629553573,56.155326130012966,-10.958439333527934
conventional,bias_only,250,1,43,250,26059,-0.3626914933186154,111.40804880092028,75.93567897255774,-17.594036778972868
conventional,affine,250,1,43,250,26059,0.027211040668077224,94.12979484000141,60.1765845977906,-10.8896530179088
conventional,local_xgboost,250,1,43,250,26059,0.0016055497983388234,95.36057800410245,60.012879640478964,-13.418576489704797
alphaearth,bias_only,250,1,44,250,26059,-0.14046941768101373,101.92004755290898,66.62304874403948,-7.669764642276706
alphaearth,affine,250,1,44,250,26059,0.03509377616120557,93.74764127057601,60.15081613354641,-5.275038557301172
alphaearth,local_xgboost,250,1,44,250,26059,0.05547750112016536,92.75214231248727,58.92841483629136,-5.26220550197404
conventional,bias_only,250,1,44,250,26059,-0.3332001783890195,110.19591039190473,75.19157157637027,-6.398082498085913
conventional,affine,250,1,44,250,26059,0.038174272695500444,93.59787534617699,60.829933379487755,-4.1207894796689235
conventional,local_xgboost,250,1,44,250,26059,-0.045616089022772144,97.58968680995204,64.97565220108719,0.3454408918986524
alphaearth,bias_only,500,1,42,500,26059,-0.13504759216480555,101.67749346413204,66.79251016008327,-3.072763191217748
alphaearth,affine,500,1,42,500,26059,0.042062744161037946,93.4084848725098,60.67081669987529,-1.2074745151796824
alphaearth,local_xgboost,500,1,42,500,26059,0.08001923666447508,91.53921185382053,58.49534680928843,-0.8396240614318111
conventional,bias_only,500,1,42,500,26059,-0.3294581869767479,110.04115422376563,75.21792486877102,-2.617711873026948
conventional,affine,500,1,42,500,26059,0.040335548593739556,93.4926563891921,61.25841418060457,-0.8443139418765427
conventional,local_xgboost,500,1,42,500,26059,0.010968853371766119,94.91236168217128,62.41607264419265,-1.5077788987224707
alphaearth,bias_only,500,1,43,500,26059,-0.14450326877911546,102.1001345363681,66.62162613427671,-9.775820621571995
